Id,Name,Overall,Potential,Role,Position,Age,Nationality,CountryCode,Club,Value,Wage,Pace,Shot,Pass,Dribble,Defend,Physical
0,Cristiano Ronaldo,94,94,Attacker,LW,32,Portugal,Portugal,Real Madrid CF,95.5M,565K,90,93,82,90,33,80
1,L. Messi,93,93,Attacker,RW,30,Argentina,Argentina,FC Barcelona,105M,565K,89,90,86,96,26,61
2,Neymar,92,94,Attacker,LW,25,Brazil,Brazil,Paris Saint-Germain,123M,280K,92,84,79,95,30,60
3,L. Suárez,92,92,Attacker,ST,30,Uruguay,Uruguay,FC Barcelona,97M,510K,82,90,79,86,42,81
4,M. Neuer,92,92,Goalkeeper,GK,31,Germany,Germany,FC Bayern Munich,61M,230K,91,90,95,89,60,91
5,R. Lewandowski,91,91,Attacker,ST,28,Poland,Poland,FC Bayern Munich,92M,355K,81,88,75,85,38,82
6,De Gea,90,92,Goalkeeper,GK,26,Spain,Spain,Manchester United,64.5M,215K,90,85,87,90,58,86
7,E. Hazard,90,91,Attacker,LW,26,Belgium,Belgium,Chelsea,90.5M,295K,90,82,84,93,32,66
8,T. Kroos,90,90,Midfielder,CM,27,Germany,Germany,Real Madrid CF,79M,340K,56,81,88,81,73,70
9,G. Higuaín,90,90,Attacker,ST,29,Argentina,Argentina,Juventus,77M,275K,79,87,70,83,25,74
10,Sergio Ramos,90,90,Defender,CB,31,Spain,Spain,Real Madrid CF,52M,310K,76,63,71,71,88,83
11,K. De Bruyne,89,92,Midfielder,CAM,26,Belgium,Belgium,Manchester City,83M,285K,75,84,88,85,45,75
12,T. Courtois,89,92,Goalkeeper,GK,25,Belgium,Belgium,Chelsea,59M,190K,85,91,69,88,49,86
13,A. Sánchez,89,89,Midfielder,LM,28,Chile,Chile,Arsenal,67.5M,265K,86,84,80,89,40,78
14,L. Modrić,89,89,Midfielder,CM,31,Croatia,Croatia,Real Madrid CF,57M,340K,73,75,86,89,72,65
15,G. Bale,89,89,Attacker,RW,27,Wales,Wales,Real Madrid CF,69.5M,370K,94,87,84,86,57,76
16,S. Agüero,89,89,Attacker,ST,29,Argentina,Argentina,Manchester City,66.5M,325K,87,88,75,89,23,72
17,G. Chiellini,89,89,Defender,CB,32,Italy,Italy,Juventus,38M,225K,74,46,56,58,90,85
18,G. Buffon,89,89,Goalkeeper,GK,39,Italy,Italy,Juventus,4.5M,110K,89,88,74,84,46,90
19,P. Dybala,88,93,Midfielder,CAM,23,Argentina,Argentina,Juventus,79M,215K,86,85,81,92,24,67
